"","global","glob_v_com","glob_com","glob_lowfr","glob_rare"
"1 or more copies",88.9,100,100,90.5,50
"2 or more copies",88.9,100,100,90.5,50
"3 or more copies",84.1,100,100,85.7,30
"4 or more copies",84.1,100,100,85.7,30
"5 or more copies",82.5,100,97.3,81,30
"6 or more copies",82.5,100,97.3,81,30
"7 or more copies",81,100,97.3,81,20
"8 or more copies",77.8,100,97.3,76.2,10
"9 or more copies",76.2,100,97.3,71.4,10
"10 or more copies",74.6,100,97.3,66.7,10
