"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies","98.4% (119)","100% (41)","100% (70)","97.3% (72)","100% (6)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"2 or more copies","97.5% (118)","100% (41)","100% (70)","96% (71)","100% (6)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"3 or more copies","94.2% (114)","100% (41)","97.1% (68)","91.9% (68)","83.3% (5)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"4 or more copies","90.9% (110)","100% (41)","97.1% (68)","86.5% (64)","83.3% (5)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"5 or more copies","88.4% (107)","100% (41)","97.1% (68)","83.8% (62)","66.7% (4)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"6 or more copies","87.6% (106)","100% (41)","97.1% (68)","82.4% (61)","66.7% (4)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"7 or more copies","84.3% (102)","100% (41)","95.7% (67)","77% (57)","66.7% (4)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"8 or more copies","83.5% (101)","100% (41)","95.7% (67)","75.7% (56)","66.7% (4)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"9 or more copies","79.3% (96)","100% (41)","94.3% (66)","71.6% (53)","33.3% (2)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"10 or more copies","78.5% (95)","100% (41)","94.3% (66)","70.3% (52)","33.3% (2)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
