"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies","86.5% (74)","100% (32)","100% (41)","91.3% (23)","57.9% (19)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"2 or more copies","85.1% (69)","100% (32)","100% (41)","91.3% (23)","52.6% (14)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"3 or more copies","81.1% (68)","100% (32)","100% (41)","87% (23)","42.1% (13)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"4 or more copies","81.1% (64)","100% (32)","100% (41)","87% (23)","42.1% (9)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"5 or more copies","81.1% (63)","100% (32)","100% (41)","87% (23)","42.1% (8)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"6 or more copies","81.1% (62)","100% (32)","100% (41)","87% (23)","42.1% (7)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"7 or more copies","77% (61)","100% (32)","97.6% (41)","78.3% (23)","36.8% (6)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"8 or more copies","73% (60)","100% (32)","97.6% (41)","78.3% (23)","21% (5)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"9 or more copies","70.3% (60)","100% (32)","97.6% (41)","73.9% (23)","15.8% (5)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"10 or more copies","68.9% (60)","100% (32)","97.6% (41)","73.9% (23)","10.5% (5)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
